metrica,grupo,carga,protocolo,media,desvio,n
app_goodput_sustentado_kbps,app,50,mqtt,8.083933,0.176557,3
app_goodput_sustentado_kbps,app,50,http,7.700567,0.152306,3
app_goodput_sustentado_kbps,app,50,coap,7.774133,0.287917,3
app_msgs_total,app,10,mqtt,660.000000,0.000000,3
app_msgs_total,app,10,http,640.000000,34.641016,3
app_msgs_total,app,10,coap,660.000000,0.000000,3
app_msgs_total,app,20,mqtt,1380.000000,0.000000,3
app_msgs_total,app,20,http,1273.333333,23.094011,3
app_msgs_total,app,20,coap,1380.000000,0.000000,3
app_msgs_total,app,30,mqtt,2020.000000,34.641016,3
app_msgs_total,app,30,http,1913.333333,11.547005,3
app_msgs_total,app,30,coap,1920.000000,60.000000,3
app_msgs_total,app,40,mqtt,2660.000000,34.641016,3
app_msgs_total,app,40,http,2560.000000,34.641016,3
app_msgs_total,app,40,coap,2620.000000,34.641016,3
app_msgs_total,app,50,mqtt,3280.000000,91.651514,3
app_msgs_total,app,50,http,3140.000000,69.282032,3
app_msgs_total,app,50,coap,3180.000000,103.923048,3
app_perda_pct,app,10,mqtt,0.000000,0.000000,3
app_perda_pct,app,10,http,3.333333,1.461065,3
app_perda_pct,app,10,coap,0.000000,0.000000,3
app_perda_pct,app,20,mqtt,0.000000,0.000000,3
app_perda_pct,app,20,http,4.411111,0.882020,3
app_perda_pct,app,20,coap,0.000000,0.000000,3
app_perda_pct,app,30,mqtt,0.000000,0.000000,3
app_perda_pct,app,30,http,2.301111,0.415697,3
app_perda_pct,app,30,coap,0.000000,0.000000,3
app_perda_pct,app,40,mqtt,0.000000,0.000000,3
app_perda_pct,app,40,http,2.006667,0.294845,3
app_perda_pct,app,40,coap,0.000000,0.000000,3
app_perda_pct,app,50,mqtt,0.000000,0.000000,3
app_perda_pct,app,50,http,1.298889,0.964580,3
app_perda_pct,app,50,coap,0.000000,0.000000,3
det_acuracia_pct,det,10,mqtt,80.870000,0.000000,3
det_acuracia_pct,det,10,http,80.870000,0.000000,3
det_acuracia_pct,det,10,coap,80.870000,0.000000,3
det_acuracia_pct,det,20,mqtt,80.870000,0.000000,3
det_acuracia_pct,det,20,http,80.870000,0.000000,3
det_acuracia_pct,det,20,coap,80.870000,0.000000,3
det_acuracia_pct,det,30,mqtt,81.093333,0.282902,3
det_acuracia_pct,det,30,http,80.870000,0.137477,3
det_acuracia_pct,det,30,coap,80.870000,0.183303,3
det_acuracia_pct,det,40,mqtt,80.810000,0.170587,3
det_acuracia_pct,det,40,http,80.900000,0.040000,3
det_acuracia_pct,det,40,coap,80.833333,0.025166,3
det_acuracia_pct,det,50,mqtt,81.376667,0.073711,3
det_acuracia_pct,det,50,http,81.090000,0.225389,3
det_acuracia_pct,det,50,coap,81.256667,0.115036,3
det_classe_0_taxa_pct,det,10,mqtt,77.270000,0.000000,3
det_classe_0_taxa_pct,det,10,http,77.270000,0.000000,3
det_classe_0_taxa_pct,det,10,coap,77.270000,0.000000,3
det_classe_0_taxa_pct,det,20,mqtt,82.980000,0.000000,3
det_classe_0_taxa_pct,det,20,http,82.980000,0.000000,3
det_classe_0_taxa_pct,det,20,coap,82.980000,0.000000,3
det_classe_0_taxa_pct,det,30,mqtt,87.836667,0.165025,3
det_classe_0_taxa_pct,det,30,http,88.076667,0.704367,3
det_classe_0_taxa_pct,det,30,coap,88.783333,0.092376,3
det_classe_0_taxa_pct,det,40,mqtt,83.890000,0.248797,3
det_classe_0_taxa_pct,det,40,http,83.500000,0.294449,3
det_classe_0_taxa_pct,det,40,coap,83.556667,0.353883,3
det_classe_0_taxa_pct,det,50,mqtt,84.003333,0.178979,3
det_classe_0_taxa_pct,det,50,http,83.426667,0.167432,3
det_classe_0_taxa_pct,det,50,coap,83.413333,0.971717,3
det_classe_1_taxa_pct,det,10,mqtt,61.020000,0.000000,3
det_classe_1_taxa_pct,det,10,http,61.020000,0.000000,3
det_classe_1_taxa_pct,det,10,coap,61.020000,0.000000,3
det_classe_1_taxa_pct,det,20,mqtt,52.590000,0.000000,3
det_classe_1_taxa_pct,det,20,http,52.590000,0.000000,3
det_classe_1_taxa_pct,det,20,coap,52.590000,0.000000,3
det_classe_1_taxa_pct,det,30,mqtt,52.943333,0.375278,3
det_classe_1_taxa_pct,det,30,http,52.430000,0.260000,3
det_classe_1_taxa_pct,det,30,coap,52.243333,0.696372,3
det_classe_1_taxa_pct,det,40,mqtt,55.963333,0.595343,3
det_classe_1_taxa_pct,det,40,http,55.946667,0.288675,3
det_classe_1_taxa_pct,det,40,coap,56.023333,0.489932,3
det_classe_1_taxa_pct,det,50,mqtt,57.240000,0.335112,3
det_classe_1_taxa_pct,det,50,http,56.806667,0.845005,3
det_classe_1_taxa_pct,det,50,coap,56.933333,0.480139,3
det_classe_2_taxa_pct,det,10,mqtt,44.830000,0.000000,3
det_classe_2_taxa_pct,det,10,http,44.830000,0.000000,3
det_classe_2_taxa_pct,det,10,coap,44.830000,0.000000,3
det_classe_2_taxa_pct,det,20,mqtt,53.850000,0.000000,3
det_classe_2_taxa_pct,det,20,http,53.850000,0.000000,3
det_classe_2_taxa_pct,det,20,coap,53.850000,0.000000,3
det_classe_2_taxa_pct,det,30,mqtt,55.906667,1.449149,3
det_classe_2_taxa_pct,det,30,http,56.220000,0.866025,3
det_classe_2_taxa_pct,det,30,coap,54.516667,3.011417,3
det_classe_2_taxa_pct,det,40,mqtt,54.180000,0.221133,3
det_classe_2_taxa_pct,det,40,http,54.550000,0.346410,3
det_classe_2_taxa_pct,det,40,coap,54.346667,0.495008,3
det_classe_2_taxa_pct,det,50,mqtt,54.320000,1.305029,3
det_classe_2_taxa_pct,det,50,http,54.710000,0.211660,3
det_classe_2_taxa_pct,det,50,coap,54.573333,0.414045,3
det_classe_3_taxa_pct,det,10,mqtt,100.000000,0.000000,3
det_classe_3_taxa_pct,det,10,http,100.000000,0.000000,3
det_classe_3_taxa_pct,det,10,coap,100.000000,0.000000,3
det_classe_3_taxa_pct,det,20,mqtt,99.590000,0.000000,3
det_classe_3_taxa_pct,det,20,http,99.590000,0.000000,3
det_classe_3_taxa_pct,det,20,coap,99.590000,0.000000,3
det_classe_3_taxa_pct,det,30,mqtt,99.526667,0.158850,3
det_classe_3_taxa_pct,det,30,http,99.610000,0.164621,3
det_classe_3_taxa_pct,det,30,coap,99.603333,0.167432,3
det_classe_3_taxa_pct,det,40,mqtt,99.556667,0.005774,3
det_classe_3_taxa_pct,det,40,http,99.773333,0.005774,3
det_classe_3_taxa_pct,det,40,coap,99.700000,0.138564,3
det_classe_3_taxa_pct,det,50,mqtt,99.010000,0.105830,3
det_classe_3_taxa_pct,det,50,http,99.100000,0.180000,3
det_classe_3_taxa_pct,det,50,coap,99.086667,0.032146,3
sta_rssi_media_dbm,sta,10,mqtt,-46.700000,0.624500,3
sta_rssi_media_dbm,sta,10,http,-46.466667,0.230940,3
sta_rssi_media_dbm,sta,10,coap,-46.666667,0.404145,3
sta_rssi_media_dbm,sta,20,mqtt,-47.100000,0.050000,3
sta_rssi_media_dbm,sta,20,http,-46.683333,0.550757,3
sta_rssi_media_dbm,sta,20,coap,-46.433333,0.332916,3
sta_rssi_media_dbm,sta,30,mqtt,-46.889272,0.126856,3
sta_rssi_media_dbm,sta,30,http,-46.744444,0.096225,3
sta_rssi_media_dbm,sta,30,coap,-46.988889,0.157527,3
sta_rssi_media_dbm,sta,40,mqtt,-46.873932,0.075023,3
sta_rssi_media_dbm,sta,40,http,-46.666667,0.187639,3
sta_rssi_media_dbm,sta,40,coap,-46.933333,0.308558,3
sta_rssi_media_dbm,sta,50,mqtt,-46.560000,0.202978,3
sta_rssi_media_dbm,sta,50,http,-46.800000,0.072111,3
sta_rssi_media_dbm,sta,50,coap,-46.806667,0.041633,3
sta_bitrate_media_mbps,sta,10,mqtt,49.480650,0.000000,3
sta_bitrate_media_mbps,sta,10,http,47.243305,0.074807,3
sta_bitrate_media_mbps,sta,10,coap,46.156802,0.320439,3
sta_bitrate_media_mbps,sta,20,mqtt,50.693415,0.131525,3
sta_bitrate_media_mbps,sta,20,http,48.072297,0.025137,3
sta_bitrate_media_mbps,sta,20,coap,47.806187,0.504595,3
sta_bitrate_media_mbps,sta,30,mqtt,50.496179,0.174559,3
sta_bitrate_media_mbps,sta,30,http,48.109785,0.270568,3
sta_bitrate_media_mbps,sta,30,coap,46.401922,0.715107,3
sta_bitrate_media_mbps,sta,40,mqtt,50.531855,0.105808,3
sta_bitrate_media_mbps,sta,40,http,47.947841,0.498469,3
sta_bitrate_media_mbps,sta,40,coap,47.722955,0.665751,3
sta_bitrate_media_mbps,sta,50,mqtt,49.697161,1.062700,3
sta_bitrate_media_mbps,sta,50,http,48.796200,0.258408,3
sta_bitrate_media_mbps,sta,50,coap,47.037630,1.473684,3
sta_retries,sta,10,mqtt,0.000000,0.000000,3
sta_retries,sta,10,http,0.000000,0.000000,3
sta_retries,sta,10,coap,0.000000,0.000000,3
sta_retries,sta,20,mqtt,0.000000,0.000000,3
sta_retries,sta,20,http,0.000000,0.000000,3
sta_retries,sta,20,coap,0.000000,0.000000,3
sta_retries,sta,30,mqtt,0.000000,0.000000,3
sta_retries,sta,30,http,0.000000,0.000000,3
sta_retries,sta,30,coap,0.000000,0.000000,3
sta_retries,sta,40,mqtt,0.000000,0.000000,3
sta_retries,sta,40,http,0.000000,0.000000,3
sta_retries,sta,40,coap,0.000000,0.000000,3
sta_retries,sta,50,mqtt,0.000000,0.000000,3
sta_retries,sta,50,http,0.000000,0.000000,3
sta_retries,sta,50,coap,0.000000,0.000000,3
sta_failed,sta,10,mqtt,0.000000,0.000000,3
sta_failed,sta,10,http,0.000000,0.000000,3
sta_failed,sta,10,coap,0.000000,0.000000,3
sta_failed,sta,20,mqtt,0.000000,0.000000,3
sta_failed,sta,20,http,0.000000,0.000000,3
sta_failed,sta,20,coap,0.000000,0.000000,3
sta_failed,sta,30,mqtt,0.000000,0.000000,3
sta_failed,sta,30,http,0.000000,0.000000,3
sta_failed,sta,30,coap,0.000000,0.000000,3
sta_failed,sta,40,mqtt,0.000000,0.000000,3
sta_failed,sta,40,http,0.000000,0.000000,3
sta_failed,sta,40,coap,0.000000,0.000000,3
sta_failed,sta,50,mqtt,0.000000,0.000000,3
sta_failed,sta,50,http,0.000000,0.000000,3
sta_failed,sta,50,coap,0.000000,0.000000,3
sta_beacon_loss,sta,10,mqtt,0.000000,0.000000,3
sta_beacon_loss,sta,10,http,0.000000,0.000000,3
sta_beacon_loss,sta,10,coap,0.000000,0.000000,3
sta_beacon_loss,sta,20,mqtt,0.000000,0.000000,3
sta_beacon_loss,sta,20,http,0.000000,0.000000,3
sta_beacon_loss,sta,20,coap,0.000000,0.000000,3
sta_beacon_loss,sta,30,mqtt,0.000000,0.000000,3
sta_beacon_loss,sta,30,http,0.000000,0.000000,3
sta_beacon_loss,sta,30,coap,0.000000,0.000000,3
sta_beacon_loss,sta,40,mqtt,0.000000,0.000000,3
