ap_beacon_loss,ap_bitrate_media_mbps,ap_failed,ap_peer_tx_pkts,ap_pkts_rx,ap_pkts_tx,ap_retries,ap_rssi_media_dbm,app_dups,app_gaps,app_goodput_media_kbps,app_goodput_sustentado_kbps,app_lat_max_ms,app_lat_media_ms,app_lat_min_ms,app_lat_p50_ms,app_lat_p90_ms,app_lat_p99_ms,app_lat_p99_ms_all,app_msgs_total,app_perda_pct,arquivo,broker_clients,broker_msg_recv,broker_msg_sent,broker_pub_sent,broker_rx_kbps,broker_tx_kbps,carga,channel,det_acuracia_pct,det_classe_0_obs,det_classe_0_ok,det_classe_0_taxa_pct,det_classe_1_obs,det_classe_1_ok,det_classe_1_taxa_pct,det_classe_2_obs,det_classe_2_ok,det_classe_2_taxa_pct,det_classe_3_obs,det_classe_3_ok,det_classe_3_taxa_pct,det_corretas,det_n_total,dist_aps_m,experimento,falhas_assoc,fim_ts,inicio_ts,mem_antes_mb,n_app_csv,n_aps,n_stas_csv,protocolo,raio_m,raio_min_m,run,sensores_por_ap,sta_beacon_loss,sta_bitrate_media_mbps,sta_bytes_rx,sta_bytes_tx,sta_failed,sta_pkts_rx,sta_pkts_tx,sta_retries,sta_rssi_media_dbm,status,tempo_s,wall_s
0.0,47.59649122807018,0.0,1395.0,1446.0,1432.0,0.0,-46.2,0,30.0,1.5063,1.5913,70.8005,6.069763333333333,1.7895999999999999,4.246,8.5098,14.921443333333333,35.8797,600.0,5.0,/app/dados/experimentos/experimento_20260915_045417/raw/c10_run1,3,220.0,634.0,634.0,1.5990344827586207,4.606372413793103,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260915_045417,0,1789448481,1789448057,2213,3,1,10,http,60,30,1,10,0.0,47.30823049001815,179602.0,219209.0,0.0,1750.0,1446.0,0.0,-46.2,ok,300,423.4
0.0,47.59649122807018,0.0,1416.0,1486.0,1448.0,0.0,-46.6,0,15.0,1.5631212121212124,1.6252,83.7033,6.54509393939394,1.9248,4.503,9.7779,15.090918181818182,44.9188,660.0,2.2733333333333334,/app/dados/experimentos/experimento_20260915_045417/raw/c10_run2,3,220.0,643.0,643.0,1.5992000000000002,4.6743999999999994,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260915_045417,0,1789448907,1789448484,3050,3,1,10,http,60,30,2,10,0.0,47.26018451300666,166501.0,222599.0,0.0,1719.0,1486.0,0.0,-46.6,ok,300,422.7
0.0,45.73684210526316,0.0,1395.0,1449.0,1425.0,0.0,-46.6,0,18.0,1.5632424242424243,1.6314,39.1691,5.103378787878788,1.7052,4.1169,6.8389,10.15049696969697,37.4978,660.0,2.7266666666666666,/app/dados/experimentos/experimento_20260915_045417/raw/c10_run3,3,220.0,650.0,650.0,1.5992000000000002,4.723310344827586,10,3,80.87,22,17,77.27,59,36,61.02,29,13,44.83,120,120,100.0,186,230,150,experimento_20260915_045417,0,1789449333,1789448911,3028,3,1,10,http,60,30,3,10,0.0,47.161500302480334,161812.0,219467.0,0.0,1679.0,1449.0,0.0,-46.6,ok,300,422.3
0.0,45.73684210526316,0.0,1413.0,1477.0,1439.0,0.0,-46.65,0,61.0,3.0620158730158726,3.1433,63.8661,7.064201587301588,1.8044000000000002,4.9241,9.6886,15.201550793650794,43.3528,1260.0,4.84,/app/dados/experimentos/experimento_20260915_045417/raw/c20_run1,3,440.0,1263.0,1263.0,3.201158620689655,9.189406896551723,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260915_045417,0,1789449868,1789449337,3030,3,2,20,http,60,30,1,10,0.0,48.076014065335755,320111.0,443342.0,0.0,3349.0,2949.0,0.0,-46.65,ok,300,531.5
0.0,45.73684210526316,0.0,1413.0,1465.0,1440.0,0.0,-46.15,0,44.0,3.115004329004329,3.2118,60.414300000000004,6.037173953823954,1.8871,4.6121,8.4077,12.93693997113997,39.3805,1300.0,3.396666666666667,/app/dados/experimentos/experimento_20260915_045417/raw/c20_run2,3,440.0,1279.0,1279.0,3.200965517241379,9.303613793103448,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260915_045417,0,1789450405,1789449873,3043,3,2,20,http,60,30,2,10,0.0,48.09536826981246,322960.0,439867.0,0.0,3357.0,2909.0,0.0,-46.15,ok,300,531.4
0.0,46.25217391304348,0.0,1412.0,1473.0,1439.0,0.0,-47.25,0,63.0,3.0624761904761906,3.1409,66.71000000000001,6.31288253968254,2.106,4.895,10.1528,13.92465873015873,32.9194,1260.0,4.996666666666666,/app/dados/experimentos/experimento_20260915_045417/raw/c20_run3,3,440.0,1257.0,1257.0,3.2012965517241376,9.147503448275861,20,3,80.87,47,39,82.98,116,61,52.59,52,28,53.85,245,244,99.59,372,460,150,experimento_20260915_045417,0,1789450941,1789450410,3013,3,2,20,http,60,30,3,10,0.0,48.04550892317,320806.0,442479.0,0.0,3353.0,2936.0,0.0,-47.25,ok,300,531.5
0.0,48.97076023391813,0.0,1447.0,1469.0,1481.0,0.0,-46.8,9.0,35.0,6.731166666666667,4.7112,6054.6287999999995,84.80641562500001,1.889,3.7611,7.9839,1048.3866062499999,2046.8378,1920.0,1.8233333333333333,/app/dados/experimentos/experimento_20260915_045417/raw/c30_run1,3,660.0,1925.0,1925.0,4.8113931034482755,14.032496551724138,30,3,80.99,73,64,87.67,185,97,52.43,67,38,56.72,343,342,99.71,541,668,150,experimento_20260915_045417,0,1789451587,1789450946,3025,3,3,30,http,60,30,1,10,0.0,48.319293204275056,482455.0,674046.0,0.0,5199.0,4483.0,0.0,-46.8,ok,300,640.7
0.0,48.888888888888886,0.0,1417.0,1428.0,1456.0,0.0,-46.8,9.0,49.0,6.2761098790322585,4.665,6092.4728,87.15077362231183,1.6429,3.809,7.4173,1362.9748148857527,2048.5213,1900.0,2.58,/app/dados/experimentos/experimento_20260915_045417/raw/c30_run2,3,658.0,1925.0,1925.0,4.797351724137932,14.035310344827588,30,3,80.72,73,64,87.67,186,98,52.69,67,37,55.22,338,337,99.7,536,664,150,experimento_20260915_045417,0,1789452234,1789451593,3009,3,3,30,http,60,30,2,10,0.0,48.20574662230288,479285.0,667569.0,0.0,5130.0,4445.0,0.0,-46.8,ok,300,640.9
0.0,50.03488372093023,0.0,1409.0,1433.0,1462.0,0.0,-46.63333333333333,12.0,48.0,7.034739583333333,4.7358,6271.259099999999,96.96303229166666,1.8406,4.087,8.8891,1180.093465625,1123.692,1920.0,2.5,/app/dados/experimentos/experimento_20260915_045417/raw/c30_run3,3,656.0,1925.0,1925.0,4.78088275862069,14.028855172413794,30,3,80.9,72,64,88.89,184,96,52.17,67,38,56.72,342,340,99.42,538,665,150,experimento_20260915_045417,0,1789452881,1789452240,2985,3,3,30,http,60,30,3,10,0.0,47.804315386166564,488404.0,672333.0,0.0,5356.0,4509.0,0.0,-46.63333333333333,ok,300,640.8
0.0,49.74561403508772,0.0,1426.0,1427.0,1459.0,0.0,-46.85,27.0,46.0,10.061193798449613,6.3076,6273.52,173.36537596899225,1.909,3.897,36.126,1813.2416395348837,6033.5835,2580.0,1.78,/app/dados/experimentos/experimento_20260915_045417/raw/c40_run1,3,875.0,2595.0,2595.0,6.381627586206897,18.924634482758623,40,3,80.94,95,79,83.16,247,139,56.28,92,50,54.35,442,441,99.77,709,876,150,experimento_20260915_045417,0,1789453637,1789452886,2995,3,4,40,http,60,30,1,10,0.0,47.773527298850574,639062.0,905680.0,0.0,6849.0,6019.0,0.0,-46.85,ok,300,750.1
