ap_beacon_loss,ap_bitrate_media_mbps,ap_failed,ap_peer_tx_pkts,ap_pkts_rx,ap_pkts_tx,ap_retries,ap_rssi_media_dbm,app_dups,app_gaps,app_goodput_media_bps,app_lat_max_us,app_lat_media_us,app_lat_min_us,app_lat_p99_us,app_msgs_total,app_perda_pct,arquivo,broker_clients,broker_msg_recv,broker_msg_sent,broker_pub_sent,broker_rx_bps,broker_tx_bps,carga,channel,det_acuracia_pct,det_classe_0_obs,det_classe_0_ok,det_classe_0_taxa_pct,det_classe_1_obs,det_classe_1_ok,det_classe_1_taxa_pct,det_classe_2_obs,det_classe_2_ok,det_classe_2_taxa_pct,det_classe_3_obs,det_classe_3_ok,det_classe_3_taxa_pct,det_corretas,det_n_total,dist_aps_m,experimento,falhas_assoc,fim_ts,inicio_ts,mem_antes_mb,n_app_csv,n_aps,n_stas_csv,protocolo,raio_m,raio_min_m,run,sensores_por_ap,sta_beacon_loss,sta_bitrate_media_mbps,sta_bytes_rx,sta_bytes_tx,sta_failed,sta_pkts_rx,sta_pkts_tx,sta_retries,sta_rssi_media_dbm,status,tempo_s,wall_s
0.0,48.2047619047619,0.0,374.0,596.0,406.0,0.0,-46.34,0,0,31429.911949685535,2967942.5,39369.80062893082,281.8,419320.1503144654,3180.0,0.0,/app/dados/experimentos/experimento_20260915_020930/raw/c50_run1,52,16.0,923.0,908.0,6748.624657534247,21142.312328767122,50,3,81.46,114,96,84.21,297,171,57.58,106,56,52.83,562,556,98.93,879,1079,150,experimento_20260915_020930,0,1789439038,1789438170,2283,3,5,50,mqtt,60,30,1,10,0.0,48.472590395480225,177944.0,631668.0,0.0,2991.0,3235.0,0.0,-46.34,ok,300,867.6
0.0,46.369491525423726,0.0,343.0,586.0,389.0,0.0,-46.6,0,0,33574.83928571428,2705930.0,44011.775,225.8,499524.91785714286,3360.0,0.0,/app/dados/experimentos/experimento_20260915_020930/raw/c50_run2,54,1394.0,5659.0,4267.0,8849.324137931035,27512.137931034482,50,3,81.32,118,99,83.9,311,177,56.91,114,63,55.26,581,575,98.97,914,1124,150,experimento_20260915_020930,0,1789439907,1789439046,2423,3,5,50,mqtt,60,30,2,10,0.0,50.24124011299435,260664.0,641865.0,0.0,3433.0,3257.0,0.0,-46.6,ok,300,860.7
0.0,41.78305084745763,0.0,363.0,592.0,402.0,0.0,-46.74,0,0,35064.80606060606,3071627.6,42842.9,244.1,470332.67515151517,3300.0,0.0,/app/dados/experimentos/experimento_20260915_020930/raw/c50_run3,54,1394.0,5660.0,4268.0,8849.075862068965,27512.46896551724,50,3,81.35,118,99,83.9,311,178,57.23,113,62,54.87,573,568,99.13,907,1115,150,experimento_20260915_020930,0,1789440776,1789439915,2217,3,5,50,mqtt,60,30,3,10,0.0,50.377652542372886,264414.0,648905.0,0.0,3523.0,3326.0,0.0,-46.74,ok,300,861.3
